attributes.input.value,ncdg@2_score,precision@2_score,hit
"{""query_bundle"": {""query_str"": ""What mental health issues were advocated for by Dr Wan Rizal and Ms Rachel Ong?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
What mental health issues were advocated for by Dr Wan Rizal and Ms Rachel Ong?,1.0,0.5,True
"{""query_bundle"": {""query_str"": ""How is the government supporting businesses and workers to navigate the new economic reality?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
How is the government supporting businesses and workers to navigate the new economic reality?,0.3868528072345415,0.5,True
"{""query_bundle"": {""query_str"": ""What measures are being taken to help Singaporeans cope with the strains and stressors of life?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
What measures are being taken to help Singaporeans cope with the strains and stressors of life?,0.6131471927654585,0.5,True
"{""query_bundle"": {""query_str"": ""Who championed for the arts and what was the reminder given by Mr Ong Hua Han?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
Who championed for the arts and what was the reminder given by Mr Ong Hua Han?,1.0,0.5,True
"{""query_bundle"": {""query_str"": ""What are some examples of participatory platforms mentioned in the context?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
What are some examples of participatory platforms mentioned in the context?,0.0,0.0,False
"{""query_bundle"": {""query_str"": ""Why are participatory platforms considered resource-intensive?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
Why are participatory platforms considered resource-intensive?,0.0,0.0,False
"{""query_bundle"": {""query_str"": ""What are some of the key points raised by the members?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
What are some of the key points raised by the members?,1.0,1.0,True
"{""query_bundle"": {""query_str"": ""Is the government being overly conservative in its fiscal projections and plans?"", ""image_path"": null, ""custom_embedding_strs"": null, ""embedding"": null}}",,,
Is the government being overly conservative in its fiscal projections and plans?,1.0,1.0,True
